,Top_features,Cross,roc_auc,model
0,849,AUS->CHN,0.651026026026026,RF
1,849,AUS->DEU,0.7202777777777778,RF
2,849,AUS->FRA,0.7394061243427156,RF
3,849,AUS->USA,0.5697115384615384,RF
4,849,CHN->AUS,0.7922705314009661,RF
5,849,CHN->DEU,0.8424999999999999,RF
6,849,CHN->FRA,0.822455923291061,RF
7,849,CHN->USA,0.7122781065088757,RF
8,849,DEU->AUS,0.5948930296756384,RF
9,849,DEU->CHN,0.8556056056056057,RF
10,849,DEU->FRA,0.762913702443551,RF
11,849,DEU->USA,0.7011834319526628,RF
12,849,FRA->AUS,0.7986542443064182,RF
13,849,FRA->CHN,0.8687437437437437,RF
14,849,FRA->DEU,0.8116666666666666,RF
15,849,FRA->USA,0.7268860946745561,RF
16,849,USA->AUS,0.7532781228433404,RF
17,849,USA->CHN,0.8245745745745746,RF
18,849,USA->DEU,0.820138888888889,RF
19,849,USA->FRA,0.759820600061862,RF
