train_country,test_country,Top_features,accuracy,prc_auc,roc_auc,sensitivity,specificity,precision,recall,f1
AUS,CHN,849,0.5625,0.7146572380994107,0.651026026026026,0.47297297297297297,0.6851851851851852,0.6730769230769231,0.47297297297297297,0.5555555555555555
AUS,DEU,849,0.675,0.775885940465062,0.7202777777777778,0.7333333333333333,0.6166666666666667,0.6567164179104478,0.7333333333333333,0.6929133858267716
AUS,FRA,849,0.6929824561403509,0.7399417292715238,0.7394061243427156,0.660377358490566,0.7213114754098361,0.6730769230769231,0.660377358490566,0.6666666666666667
AUS,USA,849,0.5096153846153846,0.6494587910293133,0.5697115384615384,0.4807692307692308,0.5384615384615384,0.5102040816326531,0.4807692307692308,0.4950495049504951
CHN,AUS,849,0.7339449541284404,0.6915498915897075,0.7922705314009661,0.7391304347826086,0.7301587301587301,0.6666666666666666,0.7391304347826086,0.7010309278350515
CHN,DEU,849,0.775,0.8596837746589457,0.8424999999999999,0.6666666666666666,0.8833333333333333,0.851063829787234,0.6666666666666666,0.7476635514018691
CHN,FRA,849,0.7368421052631579,0.8025211954142973,0.822455923291061,0.7735849056603774,0.7049180327868853,0.6949152542372882,0.7735849056603774,0.7321428571428573
CHN,USA,849,0.625,0.7354284200491363,0.7122781065088757,0.6730769230769231,0.5769230769230769,0.6140350877192983,0.6730769230769231,0.6422018348623854
DEU,AUS,849,0.5779816513761468,0.5165396510775021,0.5948930296756384,0.8260869565217391,0.3968253968253968,0.5,0.8260869565217391,0.6229508196721311
DEU,CHN,849,0.7265625,0.8863781935952808,0.8556056056056057,0.972972972972973,0.3888888888888889,0.6857142857142857,0.972972972972973,0.8044692737430168
DEU,FRA,849,0.6929824561403509,0.7112456301874353,0.762913702443551,0.8867924528301887,0.5245901639344263,0.618421052631579,0.8867924528301887,0.7286821705426356
DEU,USA,849,0.6634615384615384,0.681101245904194,0.7011834319526628,0.8461538461538461,0.4807692307692308,0.6197183098591549,0.8461538461538461,0.7154471544715447
FRA,AUS,849,0.7247706422018348,0.7659066747186262,0.7986542443064182,0.4782608695652174,0.9047619047619048,0.7857142857142857,0.4782608695652174,0.5945945945945946
FRA,CHN,849,0.75,0.8757041236899814,0.8687437437437437,0.6891891891891891,0.8333333333333334,0.85,0.6891891891891891,0.7611940298507462
FRA,DEU,849,0.775,0.8475387887128412,0.8116666666666666,0.6333333333333333,0.9166666666666666,0.8837209302325582,0.6333333333333333,0.7378640776699028
FRA,USA,849,0.625,0.7098339785060965,0.7268860946745561,0.5192307692307693,0.7307692307692307,0.6585365853658537,0.5192307692307693,0.5806451612903226
USA,AUS,849,0.7155963302752294,0.7403498365418546,0.7532781228433404,0.6521739130434783,0.7619047619047619,0.6666666666666666,0.6521739130434783,0.6593406593406593
USA,CHN,849,0.7734375,0.845800943205358,0.8245745745745746,0.7972972972972973,0.7407407407407407,0.8082191780821918,0.7972972972972973,0.802721088435374
USA,DEU,849,0.6416666666666667,0.8069384598579719,0.820138888888889,0.4166666666666667,0.8666666666666667,0.7575757575757576,0.4166666666666667,0.5376344086021506
USA,FRA,849,0.6929824561403509,0.77372443298235,0.759820600061862,0.6226415094339622,0.7540983606557377,0.6875,0.6226415094339622,0.6534653465346534
